,Player,Min,Team,PTS,REB,AST
102,Kyle Kuzma,23.9,MIL,14.0,4.4,1.2
103,Will Richard,17.5,GSW,14.0,2.3,1.3
104,Anfernee Simons,25.6,BOS,13.8,1.2,1.6
105,Quenton Jackson,22.7,IND,13.8,3.8,4.5
106,Jaylon Tyson,28.2,CLE,13.6,3.6,2.2
107,Trae Young,20.6,ATL,13.5,2.0,9.0
108,Devin Vassell,34.3,SAS,13.4,4.2,2.6
109,Jarace Walker,32.8,IND,13.4,6.4,4.8
110,Naz Reid,23.4,MIN,13.4,4.8,1.4
111,Royce O'Neale,34.4,PHX,13.4,6.6,4.2
112,Max Christie,31.6,DAL,13.2,3.4,3.2
113,VJ Edgecombe,37.5,PHI,13.2,5.6,4.0
114,Cooper Flagg,33.7,DAL,13.0,6.8,2.4
115,Ivica Zubac,30.3,LAC,13.0,11.2,2.0
116,Onyeka Okongwu,27.1,ATL,13.0,9.0,2.2
117,Tim Hardaway Jr.,23.1,DEN,13.0,1.8,1.6
118,Toumani Camara,32.7,POR,13.0,4.4,3.0
119,Brandin Podziemski,28.6,GSW,12.8,5.0,4.6
120,Collin Gillespie,26.6,PHX,12.8,3.8,6.4
121,John Collins,23.7,LAC,12.8,4.6,0.6
122,Kevin Huerter,23.6,CHI,12.8,3.6,2.4
123,Moses Moody,24.1,GSW,12.8,3.2,2.0
124,Tre Mann,22.3,CHA,12.8,2.4,2.4
125,Cedric Coward,28.7,MEM,12.6,6.8,3.0
126,Dyson Daniels,35.5,ATL,12.6,6.0,4.6
127,Santi Aldama,26.9,MEM,12.6,6.6,2.4
128,Wendell Carter Jr.,26.8,ORL,12.6,7.4,1.4
129,Sam Merrill,22.4,CLE,12.5,0.5,0.5
130,Marcus Smart,31.7,LAL,12.3,3.3,4.5
131,Christian Braun,30.3,DEN,12.2,4.8,3.4
132,Derrick White,30.1,BOS,12.2,3.8,4.8
133,Duncan Robinson,31.6,DET,12.2,3.4,1.0
134,Ausar Thompson,26.0,DET,12.0,6.4,2.4
135,Daniel Gafford,22.3,DAL,12.0,5.3,1.3
136,Jock Landale,24.4,MEM,12.0,4.4,1.6
137,Anthony Black,27.0,ORL,11.8,2.8,2.6
138,Desmond Bane,27.1,ORL,11.8,3.0,3.4
139,Harrison Barnes,28.6,SAS,11.8,3.0,2.6
140,Isaiah Stewart,26.9,DET,11.8,7.4,2.0
141,AJ Green,26.5,MIL,11.6,2.4,1.2
142,Gary Trent Jr.,29.6,MIL,11.6,1.8,2.8
143,Immanuel Quickley,29.4,TOR,11.6,3.4,6.0
144,Nick Smith Jr.,14.5,LAL,11.3,0.7,2.3
145,Ryan Dunn,27.0,PHX,11.2,5.0,1.6
146,Saddiq Bey,23.3,NOP,11.2,4.4,0.8
147,Tre Jones,29.0,CHI,11.2,3.6,4.8
148,Tristan da Silva,21.0,ORL,11.2,2.8,1.0
149,Brandon Williams,16.5,DAL,11.0,2.5,1.3
150,Chet Holmgren,30.1,OKC,11.0,5.0,3.0
151,Collin Murray-Boyles,23.0,TOR,11.0,3.6,1.6
152,Isaiah Hartenstein,27.4,OKC,11.0,10.8,4.4
153,Walker Kessler,30.1,UTA,11.0,12.5,2.5
154,CJ McCollum,25.1,WAS,10.8,2.0,3.0
155,Cam Spencer,19.6,MEM,10.8,2.0,3.6
156,Isaiah Jackson,21.8,IND,10.8,7.6,1.0
157,Jordan Clarkson,17.0,NYK,10.6,0.6,1.4
158,Rudy Gobert,32.4,MIN,10.6,9.4,1.8
159,Simone Fontecchio,19.5,MIA,10.6,2.0,1.4
160,Bilal Coulibaly,23.8,WAS,10.5,4.8,3.3
161,Bradley Beal,20.7,LAC,10.5,1.0,2.0
162,Isaac Okoro,24.8,CHI,10.4,1.4,1.6
163,Moussa Diabaté,19.6,CHA,10.4,6.8,0.8
164,Pelle Larsson,26.1,MIA,10.4,3.4,3.6
165,Tyrese Martin,24.0,BKN,10.4,3.8,2.2
166,Zaccharie Risacher,24.0,ATL,10.4,2.0,1.4
167,Derrick Jones Jr.,26.0,LAC,10.2,2.8,0.8
168,Herbert Jones,29.2,NOP,10.2,3.2,2.2
169,Luke Kennard,25.5,ATL,10.2,2.0,1.6
170,Reed Sheppard,18.4,HOU,10.2,3.0,3.2
171,Cason Wallace,28.2,OKC,10.0,3.4,2.6
172,Kel'el Ware,20.8,MIA,10.0,7.6,0.8
173,Myles Turner,27.7,MIL,10.0,6.6,2.0
174,Ziaire Williams,22.5,BKN,10.0,3.3,0.7
175,Jalen Suggs,20.2,ORL,9.5,3.0,5.0
176,Bobby Portis,18.8,MIL,9.4,4.8,1.4
177,Josh Hart,24.3,NYK,9.4,5.8,3.4
178,Josh Okogie,24.7,HOU,9.4,1.4,1.8
179,Julian Champagnie,29.5,SAS,9.4,6.2,1.2
180,Marvin Bagley III,15.3,WAS,9.4,5.0,2.0
181,Neemias Queta,22.2,BOS,9.4,8.2,2.2
182,Svi Mykhailiuk,28.1,UTA,9.4,3.0,1.4
183,Cole Anthony,21.2,MIL,9.2,3.4,4.8
184,Corey Kispert,17.4,WAS,9.2,2.6,1.6
185,Jalen Smith,14.5,CHI,9.2,5.2,0.4
186,Josh Minott,24.6,BOS,9.2,8.0,1.6
187,Ronald Holland II,23.1,DET,9.2,3.8,2.2
188,Davion Mitchell,31.1,MIA,9.0,2.6,7.8
189,Mike Conley,25.1,MIN,9.0,2.6,5.8
